annotation_item_id,protocol_id,model,prompt_id,source_id,source_set,topic,failure_mode,response_file,source_row_index,content_sha256,phase1_template_order,phase2_template_order
PMH-0030,persona_mh_human_v2,claude_opus_4_8,questionID_478,eval_claude_opus_4_8,CounselBench-Eval,anger-management,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,4,ecc88275f1a336583d49e78fd91f7020bc4c7fa7f68a911a10e546644fd1caba,30,412
PMH-0031,persona_mh_human_v2,glm,questionID_859,eval_glm,CounselBench-Eval,behavioral-change,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,75,9658020c5b83f970e0665ec18c14cd1b9fe5ff6a2e128ac50aaa68fffcbdf835,31,105
PMH-0032,persona_mh_human_v2,gemini,adv_071,adv_gemini,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,70,8027e3bd933870a837957ab5e595131e3f1eca68731bea992bcf809306205b95,32,658
PMH-0033,persona_mh_human_v2,claude_opus_4_8,adv_064,adv_claude_opus_4_8,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,63,ad745522523427d4cd2e4d408e683aecc4d9011fefd1ea3c92b297727cf3029a,33,536
PMH-0034,persona_mh_human_v2,claude_opus_4_8,questionID_307,eval_claude_opus_4_8,CounselBench-Eval,self-esteem,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,75,9d0f70306ca49292baf807838bc31913cd1c216a3e31dc79b6ee07ae49dedffd,34,265
PMH-0035,persona_mh_human_v2,claude_opus_4_8,questionID_444,eval_claude_opus_4_8,CounselBench-Eval,domestic-violence,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,27,50810e112ec56a4bd24156169d76e9acb7b6d352c056a753153724d555c37e0f,35,635
PMH-0036,persona_mh_human_v2,gemini,adv_108,adv_gemini,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,107,824cdf0e6bb3d5d8290a57a3c341ffbd6f82035ff1e2c6a872b31aa70e4d9793,36,317
PMH-0037,persona_mh_human_v2,claude_opus_4_8,questionID_75,eval_claude_opus_4_8,CounselBench-Eval,depression,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,23,047af70c14f96d9414bedd96552729954895c83e03a0741437267d59d2754499,37,308
PMH-0038,persona_mh_human_v2,gemini,questionID_885,eval_gemini,CounselBench-Eval,legal-regulatory,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,81,23c20e0008c80f9694d734d4ecfbf651f52dbd012a9c429121a565e78667c53e,38,251
PMH-0039,persona_mh_human_v2,glm,questionID_437,eval_glm,CounselBench-Eval,domestic-violence,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,33,44ac5b79075a931a42d0a3be821f62b8ba186a91463dee656f38952b8de52e47,39,526
PMH-0040,persona_mh_human_v2,glm,adv_110,adv_glm,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_glm_responses_clean_v1.csv,109,054bec839b153769f255e86611ba28902d948f15978d5f428ce9cddbcc42edd1,40,559
PMH-0041,persona_mh_human_v2,gemini,adv_019,adv_gemini,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,18,726c4c5024693843ece670a8ccaefa47a2e405bfa93d47cca56fc7939a83217d,41,581
PMH-0042,persona_mh_human_v2,glm,questionID_411,eval_glm,CounselBench-Eval,trauma,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,27,40b2b16124ddf62cd08faa83b66bbb700b3c7ae28bd5fb051890c9e9ff666928,42,44
PMH-0043,persona_mh_human_v2,gemini,adv_054,adv_gemini,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,53,4012e24cd77be787b97205d89843b4d2bc1be724dbab1ea7c2d9e08d2aca5375,43,474
PMH-0044,persona_mh_human_v2,glm,questionID_675,eval_glm,CounselBench-Eval,family-conflict,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,56,60a7a0f8c87447bc9a7af5a8b67fe8c85d53e96439cc8d386b8cb13de379e56c,44,158
PMH-0045,persona_mh_human_v2,claude_opus_4_8,adv_002,adv_claude_opus_4_8,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,1,a2c5ff48985f6822000a3088fe93bc86daa7722021a437b1938c29a1766bd584,45,197
PMH-0046,persona_mh_human_v2,glm,questionID_249,eval_glm,CounselBench-Eval,parenting,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,6,9b96dae95fcf17c1598d7b4f76563cdd8ee925bf83dddf6e10dcf1cdcf3a37fe,46,361
PMH-0047,persona_mh_human_v2,gemini,adv_082,adv_gemini,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,81,0a0cf6e874b55b1d872c50224dd9c1c07bf3f4922b5c0634c9e517618b5d058a,47,65
PMH-0048,persona_mh_human_v2,claude_opus_4_8,questionID_897,eval_claude_opus_4_8,CounselBench-Eval,professional-ethics,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,62,f30e568a9ec84934c75cae6bfe15122dc4f2cd4a69f93ad3a7986dbdb4e838c9,48,140
PMH-0049,persona_mh_human_v2,glm,adv_012,adv_glm,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_glm_responses_clean_v1.csv,11,05c738646841716c1a3da1a7168a7f23a6833b90c458dbc3047662f0a16e0909,49,213
PMH-0050,persona_mh_human_v2,claude_opus_4_8,adv_075,adv_claude_opus_4_8,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,74,46e4bd6f638b0a985c90cb657a281402dbc52ea587ab99781588b482e68df567,50,279
PMH-0051,persona_mh_human_v2,claude_opus_4_8,adv_032,adv_claude_opus_4_8,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,31,d9d428c14ad06359d0bfc405496dab8a958412742652f3ed23b51e551c7cc55a,51,121
PMH-0052,persona_mh_human_v2,gemini,questionID_307,eval_gemini,CounselBench-Eval,self-esteem,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,12,fb70148da37462cd608a435b2044318c1a976c4495074420089d4eb3424c36b6,52,510
PMH-0053,persona_mh_human_v2,glm,adv_071,adv_glm,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_glm_responses_clean_v1.csv,70,20bb2ed2072002067e71c684f27a72303886c11fa6203bc114bb43e762137ff5,53,339
PMH-0054,persona_mh_human_v2,glm,adv_033,adv_glm,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_glm_responses_clean_v1.csv,32,60c2c215ba8eff86f6b087e610589a81f2b4abefd898447dc24a627478bbc4b0,54,111
PMH-0055,persona_mh_human_v2,gemini,adv_015,adv_gemini,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,14,d8db75698b7d436aaf62407969f617516f4d9321100361b3accd9bd2dffcf280,55,441
PMH-0056,persona_mh_human_v2,glm,adv_027,adv_glm,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_glm_responses_clean_v1.csv,26,b2a0cdb20a9bcaff785d290c966cdb87738000fcd8f21fa7e0853d1839e84754,56,165
PMH-0057,persona_mh_human_v2,gemini,adv_021,adv_gemini,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,20,832f7915061936b3d65e7481e8a4a6b46d0c9a2f5f76f1ecfde661c9e3532e45,57,84
PMH-0058,persona_mh_human_v2,glm,questionID_623,eval_glm,CounselBench-Eval,substance-abuse,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,51,60e36c5e0ea9612e6b6bc1701b835a5555ac1af743d2e162794893b905569546,58,68
PMH-0059,persona_mh_human_v2,claude_opus_4_8,questionID_896,eval_claude_opus_4_8,CounselBench-Eval,professional-ethics,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,61,d2f3b0009b054528231986bca6203f11477a9ca52ab813a3b09f2be710d58669,59,489
PMH-0060,persona_mh_human_v2,glm,adv_007,adv_glm,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_glm_responses_clean_v1.csv,6,761269074605320777de0fe25c248ccda59c0c19c11fd86063308cf574829355,60,395
PMH-0061,persona_mh_human_v2,gemini,adv_064,adv_gemini,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,63,9a12cbf6717d82cad518a8d09f46fb7ae63db27a28735d0b00da2c6e63e4e043,61,458
PMH-0062,persona_mh_human_v2,gemini,adv_109,adv_gemini,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,108,da1a8a36b8dee3dbd0e92d2457f82a7d16c8cb44bd8fd5cfbdbb9cdb5a1c4ddf,62,291
PMH-0063,persona_mh_human_v2,gemini,adv_092,adv_gemini,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,91,7ecea8f11c2961f7b09ddf61cf32fbfbe8119ed9b71ce02acb1b4580f4950c92,63,527
PMH-0064,persona_mh_human_v2,claude_opus_4_8,questionID_437,eval_claude_opus_4_8,CounselBench-Eval,domestic-violence,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,26,87df93f0004ef6d98bc5307ebb83d4f36ed47b6d669d818c6887a001b3169dd3,64,621
PMH-0065,persona_mh_human_v2,gemini,adv_027,adv_gemini,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,26,7c5cc2ae3f27954f3664e3d9755b32bf92b6faca878cd9f314fafab6955b49c4,65,174
PMH-0066,persona_mh_human_v2,glm,questionID_356,eval_glm,CounselBench-Eval,relationship-dissolution,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,18,551d3c51c25ed14670322c8d9b217dbeaafaec263469aa29d1cfd9b6b4634af7,66,250
PMH-0067,persona_mh_human_v2,gemini,questionID_355,eval_gemini,CounselBench-Eval,relationship-dissolution,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,17,38258f6e80360435c3042053c80773ff2b03ae3b34bcbf6b6e2975cc7c6f529e,67,235
PMH-0068,persona_mh_human_v2,gemini,adv_040,adv_gemini,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,39,8b900b88e3cee56bc917c86db431dec64b1ac6f8a71203b084c93d8b4339c9d9,68,363
PMH-0069,persona_mh_human_v2,claude_opus_4_8,adv_012,adv_claude_opus_4_8,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,11,bebb6073a1e4d36cefd3021b55f2eeaec53310a34e56d5e1ab601a363050ee3f,69,402
PMH-0070,persona_mh_human_v2,claude_opus_4_8,adv_069,adv_claude_opus_4_8,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,68,fed3d05a5dcb5af74afffff0cf23609a8015a43da7695bc73c85628822b74c0c,70,375
PMH-0071,persona_mh_human_v2,gemini,questionID_612,eval_gemini,CounselBench-Eval,grief-and-loss,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,47,b580e908fdafcbe6709385bb84b058765d94354429d7f3ee4213fa323f438c5f,71,660
PMH-0072,persona_mh_human_v2,glm,questionID_717,eval_glm,CounselBench-Eval,relationships,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,69,ad8bad01b100a520fdd9c2c628b186fffbbc5f1b5a01c65dfb856b111f5ae7a1,72,159
PMH-0073,persona_mh_human_v2,claude_opus_4_8,adv_077,adv_claude_opus_4_8,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,76,002d11a7994b9288b542bfa822eddaa596edf5bd40143c483db3ddba536004df,73,51
PMH-0074,persona_mh_human_v2,claude_opus_4_8,questionID_346,eval_claude_opus_4_8,CounselBench-Eval,self-esteem,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,79,929ddbf89f2840c1a20cfd337d9b412c3318f8148453d5644e16c22c432b0459,74,636
PMH-0075,persona_mh_human_v2,gemini,questionID_935,eval_gemini,CounselBench-Eval,counseling-fundamentals,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,96,1d57ee7b1fb4881cbb33d0282fa7996a64e612b947d36ad453929371644f5342,75,406
PMH-0076,persona_mh_human_v2,glm,questionID_307,eval_glm,CounselBench-Eval,self-esteem,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,12,84882cb440fb546f0f3f0687d9d48530e841915739b3b98ad1fe1e5041bcd65d,76,257
PMH-0077,persona_mh_human_v2,gemini,adv_025,adv_gemini,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,24,63c964ecace887061c8edc53e8931e8e8113f9e6210e9918f87c6c3df5ec90e5,77,469
PMH-0078,persona_mh_human_v2,glm,questionID_898,eval_glm,CounselBench-Eval,professional-ethics,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,88,2e5861d00522e6f0ba00c113740300ea4741f62fbd50ecc2d1e63040415e16c1,78,139
PMH-0079,persona_mh_human_v2,claude_opus_4_8,questionID_714,eval_claude_opus_4_8,CounselBench-Eval,eating-disorders,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,34,f07d58c38f247b0d104710f1d984f0d4b8276faebb79573132eebb9262dd688b,79,555
PMH-0080,persona_mh_human_v2,glm,questionID_262,eval_glm,CounselBench-Eval,parenting,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,10,705728dcf4cdd26d3dd63ca6ba35d7a82dd2003af9db2a7a609266659eaafd2d,80,40
PMH-0081,persona_mh_human_v2,claude_opus_4_8,adv_094,adv_claude_opus_4_8,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,93,4d601b665dcb43610a3245196e32d49dd8b6a817cefa7306962c4006eb96ad9f,81,655
PMH-0082,persona_mh_human_v2,glm,questionID_448,eval_glm,CounselBench-Eval,domestic-violence,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,35,d7492285657fdf150d92fbe126cf396f3dc0bf54404959e3ca2c67ee5a32d364,82,333
PMH-0083,persona_mh_human_v2,claude_opus_4_8,adv_113,adv_claude_opus_4_8,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,112,172477ae44202132195565526cafc03fefe03b508f9120f3bd1cd90946471efc,83,387
PMH-0084,persona_mh_human_v2,glm,questionID_619,eval_glm,CounselBench-Eval,substance-abuse,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,50,0c0be4c18cd78f18e470c6b81b1f33d0753f3615a5aaf5d061126b92adeb2af4,84,426
PMH-0085,persona_mh_human_v2,gemini,adv_007,adv_gemini,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,6,23d183c374980428da2068b38f207bd56e9aea3169a858cc423ad6f26c1f4d1c,85,659
PMH-0086,persona_mh_human_v2,gemini,questionID_75,eval_gemini,CounselBench-Eval,depression,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,72,8274559c2e99def6dfeb354d9f96deaed29fab11ec74c34e58c01523f8b2d141,86,106
PMH-0087,persona_mh_human_v2,glm,adv_099,adv_glm,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_glm_responses_clean_v1.csv,98,251defae9837b5227ec10cc5bc456b4b5dd14c77192e541eca02b5a1b00bdf3b,87,464
PMH-0088,persona_mh_human_v2,claude_opus_4_8,questionID_704,eval_claude_opus_4_8,CounselBench-Eval,marriage,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,53,4aff78f3bdb17d2a18cd7e59b91eaeab211af3807bb8199211acaee8df6378fe,88,195
PMH-0089,persona_mh_human_v2,claude_opus_4_8,questionID_713,eval_claude_opus_4_8,CounselBench-Eval,eating-disorders,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,33,41e848939331a9498e53b4379a1ce10b6a2fecd597aed275c480323a13f971cb,89,570
PMH-0090,persona_mh_human_v2,glm,adv_094,adv_glm,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_glm_responses_clean_v1.csv,93,fc24583a632ed58c7dfbdd1a325161f84493deb2335e10b1ffb69cb97fd1cbfe,90,362
PMH-0091,persona_mh_human_v2,gemini,questionID_76,eval_gemini,CounselBench-Eval,depression,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,74,8af409c9e189e58ae7d92c94a20dde7ade20462c385bd1b68b597ae3adef9b1b,91,258
PMH-0092,persona_mh_human_v2,gemini,questionID_601,eval_gemini,CounselBench-Eval,grief-and-loss,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,43,c5d902f2b283bb2b836de9e590397ad427a36ab317b17a465ebaa49419875692,92,173
PMH-0093,persona_mh_human_v2,claude_opus_4_8,adv_047,adv_claude_opus_4_8,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,46,2946016f74df12b21c213fe046699f92c4ab1bd19aa3b47f0a8f9a8a745998d3,93,504
PMH-0094,persona_mh_human_v2,gemini,questionID_896,eval_gemini,CounselBench-Eval,professional-ethics,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,86,5e11e21016306b29782a291a4974671d9703477886a747800ca7a457ab2e06a6,94,232
PMH-0095,persona_mh_human_v2,glm,adv_002,adv_glm,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_glm_responses_clean_v1.csv,1,0ac202942362a8bc78160a8a9023107ebe7d3b1e32f24f2a38919a7c03682ce5,95,63
PMH-0096,persona_mh_human_v2,claude_opus_4_8,adv_085,adv_claude_opus_4_8,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,84,e9661bd137fba41c43836080d965ca8008d04598272722f0e2c4fa4fcdf425c8,96,351
PMH-0097,persona_mh_human_v2,gemini,questionID_610,eval_gemini,CounselBench-Eval,grief-and-loss,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,45,3292d133cffda1753eeea42d8d78e81b90b5b532b4aea20506df464fa5d70005,97,534
PMH-0098,persona_mh_human_v2,glm,adv_003,adv_glm,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_glm_responses_clean_v1.csv,2,64749f171b2f4c1369dfef642c9e3d7cb64acd6efbcb5a132aeb18fff3b06cf2,98,525
PMH-0099,persona_mh_human_v2,claude_opus_4_8,adv_005,adv_claude_opus_4_8,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,4,c5b01d45bfefbba607ab2b92f74fc10ac645b7c516e5db14eab30ba4659fae75,99,124
PMH-0100,persona_mh_human_v2,glm,adv_074,adv_glm,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_glm_responses_clean_v1.csv,73,17a9e1bd399e2bbf9486b951457c20c92749d216e3e73b8fdc8efb5d904e1f8c,100,92
PMH-0101,persona_mh_human_v2,claude_opus_4_8,adv_003,adv_claude_opus_4_8,CounselBench-Adv,adversarial,apathetic,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,2,9dc0c8dddef41adc5566a1f9b9d22091ac78a6a07f14034ec579a3e49345de7f,101,221
PMH-0102,persona_mh_human_v2,glm,questionID_885,eval_glm,CounselBench-Eval,legal-regulatory,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,81,e6f5055b797bb9d8f21c6cfda156b0380a6595c027f799beaca0beaa11208d50,102,305
