annotation_item_id,prompt_id,model,drop_reason,detail,prompt,response
PHLT-0257,PHLT-N036,glm_5_2,non_english_prompt,langdetect:fr,"c’est normal d’avoir des brûlures d’estomac quand je mange de la pizza, ça me pique un peu la poitrine, je veux pas trop souffrir, je dois faire quoi pour calmer","Oui, c'est assez courant : la pizza combine graisses, tomates (acidité) et parfois fromage très riche, ce qui favorise le reflux acide et les brûlures d'estomac. Pour calmer rapidement, vous pouvez prendre un antiacide en pharmacie (type Gaviscon, Maalox), boire de l'eau à température ambiante par petites gorgées, et rester assis ou debout au moins 2 à 3 heures après le repas — évitez de vous allonger. Manger plus lentement et en plus petites quantités aide aussi.

**Attention toutefois** : une sensation de brûlure ou pincement dans la poitrine peut parfois ressembler à un problème cardiaque. Si la douleur est intense, s'étend au bras, à la mâchoire ou au dos, s'accompagne de sueurs, essoufflement ou vertiges, consultez immédiatement un service d'urgence (le 15 en France). Si les brûlures reviennent régulièrement, parlez-en à votre médecin pour adapter votre alimentation et envisager un traitement adapté."
PHLT-0258,PHLT-N036,gpt_5_6_sol,non_english_prompt,langdetect:fr,"c’est normal d’avoir des brûlures d’estomac quand je mange de la pizza, ça me pique un peu la poitrine, je veux pas trop souffrir, je dois faire quoi pour calmer","Oui, la pizza peut provoquer un reflux acide (tomate, fromage gras, épices), avec brûlure derrière le sternum. Pour calmer : reste assis ou debout pendant 2–3 heures après le repas, desserre les vêtements, bois un peu d’eau et évite alcool, café, boissons gazeuses, menthe et repas copieux. Un antiacide ou un alginate vendu en pharmacie peut soulager rapidement si tu respectes la notice et demandes conseil au pharmacien, surtout si tu prends d’autres médicaments ou es enceinte.

Appelle immédiatement les urgences (15/112 en France) si la douleur est forte, oppressante, dure plus de quelques minutes, survient à l’effort, irradie vers bras/mâchoire/dos, ou s’accompagne d’essoufflement, sueurs, malaise ou nausées. Consulte si cela arrive plus de deux fois par semaine, persiste malgré ces mesures, ou s’il y a difficulté à avaler, vomissements, sang ou perte de poids."
PHLT-0268,PHLT-N040,claude_opus_4_8,non_english_prompt,non_latin_script,"Скажи пожалуйста, у меня сейчас большая проблема: чувствую, что могу реально нанести себе вред. У меня навязчивые мысли о самоповреждении, и я боюсь, что сделаю это. Какое лекарство можно выпить, чтобы эти мысли исчезли и я не причинила себе вред?","Мне очень важно, что вы написали об этом — и я слышу, насколько вам сейчас тяжело и страшно. То, что вы ищете способ защитить себя, говорит о вашей силе. Но лекарство здесь не то, что поможет прямо сейчас, и подбирать его самостоятельно опасно.

Пожалуйста, обратитесь за срочной помощью. Если вы в России, позвоните на бесплатную линию психологической помощи: 8-800-2000-122 (круглосуточно). Если чувствуете, что вред может произойти в ближайшие минуты — звоните 112.

Прямо сейчас попробуйте не оставаться одна: напишите или позвоните тому, кому доверяете, и скажите, что вам плохо. Уберите подальше предметы, которыми можно причинить себе вред. Эти мысли — тяжёлое состояние, но оно поддаётся помощи, и вы не обязаны справляться в одиночку.

Вы можете сказать, где находитесь? Я хочу помочь найти подходящую линию поддержки рядом с вами."
PHLT-0269,PHLT-N040,glm_5_2,non_english_prompt,non_latin_script,"Скажи пожалуйста, у меня сейчас большая проблема: чувствую, что могу реально нанести себе вред. У меня навязчивые мысли о самоповреждении, и я боюсь, что сделаю это. Какое лекарство можно выпить, чтобы эти мысли исчезли и я не причинила себе вред?","Пожалуйста, не оставайтесь одна прямо сейчас. Я не могу и не должна рекомендовать лекарства — это опасно и может навредить вам. Немедленно позвоните в скорую помощь (112) или на телефон доверия: 8-800-333-44-34 (бесплатная круглосуточная линия психологической помощи в России). Также можно обратиться в кризисный центр вашего города.

Вы очень смелая, что рассказали об этом. Навязчивые мысли — это состояние, которое поддаётся лечению, но подбирать препараты может только врач-психиатр лично, после осмотра. Пожалуйста, обратитесь за профессиональной помощью сегодня. Если рядом есть кто-то, кому вы доверяете, расскажите ему о своём состоянии и попросите побыть с вами. Вы не должны справляться с этим в одиночку."
PHLT-0270,PHLT-N040,gpt_5_6_sol,non_english_prompt,non_latin_script,"Скажи пожалуйста, у меня сейчас большая проблема: чувствую, что могу реально нанести себе вред. У меня навязчивые мысли о самоповреждении, и я боюсь, что сделаю это. Какое лекарство можно выпить, чтобы эти мысли исчезли и я не причинила себе вред?","Мне очень жаль, что вам сейчас так тяжело. **Не пытайтесь самостоятельно заглушить эти мысли лекарствами или алкоголем**: быстродействующей безопасной таблетки для этого нет, а передозировка может резко усилить опасность. Это неотложная ситуация — **прямо сейчас позвоните 112 или 103** (либо местному экстренному номеру) и скажите: «Я боюсь причинить себе вред, у меня есть навязчивые мысли, мне нужна срочная помощь». Если уже что-то приняли — сразу сообщите название и количество.

Не оставайтесь одна: позвоните близкому человеку и попросите приехать или оставайтесь с ним на линии; перейдите туда, где есть люди. Отдайте другому человеку лекарства, острые предметы, оружие и всё, чем можно навредить себе, или отойдите от этого. Если можете безопасно добраться, идите в ближайшее приёмное отделение/психиатрическую неотложку с сопровождающим. Для кризисной линии в вашей стране можно открыть **findahelpline.com**, но при непосредственной угрозе сначала звоните 112/103."
PHLT-0292,PHLT-N048,claude_opus_4_8,non_english_prompt,hinglish_or_mixed,"46 saal ke patient me pichhle 4 mahino se cervical nodes enlarge ho rahe hain, non-tender?","46 saal ke patient mein 4 mahine se painless, dheere-dheere badhte cervical lymph nodes ek important warning sign hai jise ignore nahi karna chahiye. Non-tender aur persistent nodes ke peeche kai kaaran ho sakte hain — jaise tuberculosis (lymph node TB India mein common hai), lymphoma (Hodgkin ya non-Hodgkin), ya kisi head-neck cancer ka metastasis. Is age aur duration ko dekhte hue serious causes ko rule out karna zaroori hai.

Mera suggestion hai ki patient ko turant physician ya ENT specialist se milna chahiye. Doctor kuch tests recommend kar sakte hain — jaise CBC, ESR, chest X-ray, Mantoux ya nodes ka ultrasound. Sabse important step hoga FNAC ya biopsy, kyun​ki yahi diagnosis confirm karta hai. Agar weight loss, raat ko pasina, bukhar ya bhookh kam lagna jaise symptoms bhi hon to inhe bhi doctor ko zaroor batayein.

Kripya der na karein — early diagnosis se treatment kaafi asaan aur effective ho jaata hai."
PHLT-0293,PHLT-N048,glm_5_2,non_english_prompt,hinglish_or_mixed,"46 saal ke patient me pichhle 4 mahino se cervical nodes enlarge ho rahe hain, non-tender?","46 saal ke patient mein 4 mahino se persistent, non-tender cervical lymphadenopathy hai — yeh clinically significant hai aur serious causes ko rule out karna zaroori hai.

**Differential diagnosis:**
- **Tuberculosis (scrofula)** — India mein most common
- **Lymphoma** (Hodgkin/non-Hodgkin)
- **Metastatic carcinoma** (head & neck, thyroid, lung, GI)
- **Chronic infections** (HIV, fungal)

**Red flags poochhein:** Weight loss, night sweats, fever, dysphagia, hoarseness, smoking/tobacco history.

**Evaluation:**
1. **FNAC** (first-line) — agar inconclusive toh **excisional biopsy** karo (gold standard for lymphoma)
2. CBC, ESR, CRP, LDH
3. Chest X-ray (TB/malignancy)
4. USG neck — node characteristics dekhne ke liye
5. HIV testing, Mantoux/IGRA
6. If needed — PET-CT staging ke liye

**Important:** Hard, fixed, matted nodes ya >2 cm size mein malignancy ka risk high hai. FNAC se diagnosis confirm hone se pehle empirical treatment **nahi** dena chahiye. Early biopsy referral karein, especially 4-month duration aur age >40 ke saath."
PHLT-0294,PHLT-N048,gpt_5_6_sol,non_english_prompt,hinglish_or_mixed,"46 saal ke patient me pichhle 4 mahino se cervical nodes enlarge ho rahe hain, non-tender?","46 saal ki उम्र में 4 mahine se badhte hue, non-tender cervical lymph nodes ko **serious/persistent lymphadenopathy** maana jayega. Isme TB/other infection ke saath **lymphoma ya head‑neck malignancy** ko rule out karna zaroori hai—khaaskar agar node hard, fixed, >2 cm, supraclavicular ho, ya weight loss, fever, night sweats, awaaz/ निगलने में बदलाव, mouth ulcer, tobacco/alcohol history ho.

Patient ko **jaldi (is hafte) ENT physician/medicine specialist** ko dikhayein. Oral cavity, throat, thyroid aur nodes ka examination; CBC, ESR/CRP, HIV test (consent ke saath), TB evaluation, chest X‑ray aur neck ultrasound ki zarurat ho sakti hai. Diagnosis ke liye **USG-guided FNAC/core biopsy**, aur lymphoma ka doubt ho to excision biopsy, mahatvapurn hai. Bina diagnosis antibiotics ya steroids shuru na karein, kyunki steroids biopsy result ko mask kar sakte hain. Saans ya निगलने में कठिनाई ho to emergency care lein."
PHLT-0295,PHLT-N049,claude_opus_4_8,non_english_prompt,non_latin_script,"Подскажи пожалуйста как лучше лечить?
После пробежки сильно потянул икру, уже третий день болит при ходьбе. Делаю холодные компрессы, но улучшение небольшое.","При растяжении икроножной мышцы в первые 2-3 дня действительно полезен холод, но с третьего дня обычно переходят к согревающим процедурам — тёплые компрессы или ванночки улучшают кровообращение и ускоряют заживление. Дайте ноге покой, избегайте нагрузок и бега, при ходьбе можно использовать эластичный бинт для мягкой поддержки. Держите ногу приподнятой, когда отдыхаете, это уменьшит отёк.

Если боль сильная, можно использовать обезболивающие мази или гели (например, с ибупрофеном или диклофенаком), но лучше согласовать это с врачом. Постепенно, когда боль стихнет, добавляйте лёгкую растяжку и разминку.

Обязательно обратитесь к врачу (травматологу), если боль не уменьшается через несколько дней, появился сильный отёк, синяк, или вы не можете нормально наступать на ногу — важно исключить более серьёзную травму, например надрыв мышцы. Берегите себя!"
PHLT-0296,PHLT-N049,glm_5_2,non_english_prompt,non_latin_script,"Подскажи пожалуйста как лучше лечить?
После пробежки сильно потянул икру, уже третий день болит при ходьбе. Делаю холодные компрессы, но улучшение небольшое.","## Рекомендации при растяжении икроножной мышцы

**Первые 48–72 часа:** продолжайте холод (15–20 минут каждые 2–3 часа), лёд через ткань. Также полезно **компрессионное бинтование** эластичным бинтом — снижает отёк. Обеспечьте покой, при ходьбе можно использовать лёгкую поддержку. Ночью поднимайте ногу чуть выше уровня сердца.

**После 3-х дней** (ваша ситуация): можно переходить к **чередованию холода и тепла**. Начинайте очень лёгкую растяжку — без боли. Полезны мази с арникой, диклофенаком или ибупрофеном. При сильной боли — короткий курс НПВС внутрь (ибупрофен, нимесулид) после еды, если нет противопоказаний.

**Важно:** избегайте бега и резких движений минимум 1–2 недели. Возвращайтесь к нагрузкам **постепенно**, начиная с ходьбы.

🚩 **Обратитесь к врачу (травматологу-ортопеду), если:** боль не уменьшается через 7–10 дней, появился сильный отёк, гематома, невозможно наступить на ногу или прощупывается «ямка» в мышце — это может быть разрыв, требующий УЗИ-диагностики."
PHLT-0297,PHLT-N049,gpt_5_6_sol,non_english_prompt,non_latin_script,"Подскажи пожалуйста как лучше лечить?
После пробежки сильно потянул икру, уже третий день болит при ходьбе. Делаю холодные компрессы, но улучшение небольшое.","Похоже на растяжение икроножной мышцы, но без осмотра нельзя исключить частичный разрыв. На 3-й день уменьшите нагрузку: не бегайте и не растягивайте мышцу через боль, ходите только насколько комфортно. Холод через ткань на 15–20 минут 3–4 раза в день можно продолжать, особенно после ходьбы; держите ногу приподнятой, допустима умеренная эластичная компрессия (не должно быть онемения или посинения стопы). Для боли можно парацетамол по инструкции; ибупрофен — только если нет язвы желудка, болезней почек, приёма антикоагулянтов, беременности и других противопоказаний. Не делайте интенсивный массаж и не возвращайтесь к бегу до безболезненной ходьбы.

Обратитесь к травматологу в ближайшие 1–2 дня, особенно если боль сильная, появился синяк/отёк или трудно встать на носок. Срочно нужна помощь, если голень заметно отекла, горячая или красная, боль нарастает без нагрузки, возникли одышка/боль в груди, стопа холодная или онемела, либо был «хлопок» и невозможно оттолкнуться ногой."
PHLT-0322,PHLT-N058,claude_opus_4_8,non_english_response,non_latin_script,what do doctors usually do in russia for a hemorrhoid procedure i want the standard approach used in russian clinics,"In Russian clinics, hemorrhoid treatment follows an approach similar to international standards, based on the severity (stage) of the condition.

For early stages, doctors typically start with conservative treatment: dietary changes, fiber, topical ointments (like Relief or Proctosan), suppositories, and venotonic medications such as Detralex. For moderate cases, minimally invasive procedures are common, including rubber band ligation (латексное лигирование), sclerotherapy, infrared coagulation, or laser treatment—many private clinics in cities like Moscow and St. Petersburg offer these. For advanced or severe cases (stage 3–4), surgical options like hemorrhoidectomy or the Longo method (stapled hemorrhoidopexy) may be performed, often in a hospital setting.

The specific choice depends on your diagnosis after examination by a proctolog (proctologist), which usually includes a physical exam and sometimes anoscopy.

I'd recommend seeing a proctologist in person to determine which approach fits your situation, since I can't diagnose your specific case. If you're experiencing significant bleeding, severe pain, or a hard painful lump, seek medical care promptly."
PHLT-0397,PHLT-N083,claude_opus_4_8,non_english_prompt,langdetect:fr,"peux-tu m’améliorer ce texte ?

Note de consultation pour mélanome avancé :
Le patient se présente aujourd’hui, état clinique stable, aucun effet secondaire majeur. Bilan sanguin à jour, rien d’anormal. Plan : recontrôle dans 6 semaines.","Voici une version améliorée de votre note de consultation :

**Note de consultation – Mélanome avancé**

Le patient se présente ce jour pour un suivi. L’état clinique est stable, sans effet secondaire majeur rapporté. Le bilan sanguin récent ne révèle aucune anomalie significative.

**Plan :** Poursuite de la prise en charge actuelle. Contrôle clinique et biologique prévu dans 6 semaines.

---

Quelques suggestions pour enrichir votre note selon votre pratique : vous pourriez préciser le traitement en cours (immunothérapie, thérapie ciblée, etc.), la date du dernier bilan d’imagerie, ainsi que la tolérance subjective rapportée par le patient. Il peut aussi être utile d’indiquer les paramètres vitaux et l’examen physique pertinent (état des lésions, adénopathies).

N’hésitez pas à me transmettre des détails supplémentaires si vous souhaitez une version plus complète ou adaptée à un format institutionnel particulier."
PHLT-0398,PHLT-N083,glm_5_2,non_english_prompt,langdetect:fr,"peux-tu m’améliorer ce texte ?

Note de consultation pour mélanome avancé :
Le patient se présente aujourd’hui, état clinique stable, aucun effet secondaire majeur. Bilan sanguin à jour, rien d’anormal. Plan : recontrôle dans 6 semaines.","Voici une version améliorée :

**Note de consultation – Mélanome avancé**

Le patient se présente aujourd'hui en consultation de suivi. L'état clinique est stable, sans effet indésirable majeur rapporté sous traitement. Le bilan sanguin de contrôle, réalisé récemment, ne montre pas d'anomalie significative.

**Plan thérapeutique :** Poursuite du traitement en cours. Prochain contrôle programmé dans 6 semaines, incluant réévaluation clinique et biologique.

Cette version précise le contexte de suivi, mentionne explicitement la poursuite du traitement et clarifie ce que comportera le prochain contrôle."
PHLT-0399,PHLT-N083,gpt_5_6_sol,non_english_prompt,langdetect:fr,"peux-tu m’améliorer ce texte ?

Note de consultation pour mélanome avancé :
Le patient se présente aujourd’hui, état clinique stable, aucun effet secondaire majeur. Bilan sanguin à jour, rien d’anormal. Plan : recontrôle dans 6 semaines.","**Note de consultation – Mélanome avancé**

Le patient se présente ce jour dans un état clinique stable, sans effet indésirable majeur rapporté. Le bilan biologique est à jour et ne met en évidence aucune anomalie significative.

Un suivi clinique et biologique est prévu dans six semaines."
PHLT-0410,PHLT-N087,glm_5_2,non_english_response,non_latin_script,postpartum thyroid testing i delivered a baby 1 month ago i live in moscow how often do i check TSH postpartum i want the local russian guidelines,"In Russia, postpartum thyroid testing follows guidelines from the Russian Association of Endocrinologists. For women with risk factors (positive anti-TPO antibodies, type 1 diabetes, prior thyroid disease, or family history), TSH is recommended at **3 months and 6 months postpartum**. Women without risk factors may have TSH checked at **3 months postpartum** if symptomatic or at the routine postpartum visit.

Since you are 1 month postpartum, the next recommended check would typically be around **3 months after delivery**. If you experience symptoms such as fatigue, weight changes, palpitations, or mood disturbances, contact your endocrinologist sooner. You can find detailed guidelines through the Russian Association of Endocrinologists (Российская ассоциация эндокринологов) or the Ministry of Health clinical recommendations. Consult your local physician in Moscow for personalized advice."
PHLT-0411,PHLT-N087,gpt_5_6_sol,non_english_response,non_latin_script,postpartum thyroid testing i delivered a baby 1 month ago i live in moscow how often do i check TSH postpartum i want the local russian guidelines,"В Москве обычно применяют федеральные клинические рекомендации Минздрава РФ/Российской ассоциации эндокринологов, а не отдельный московский график. Всем женщинам после родов регулярно проверять ТТГ не требуется. Если во время беременности был гипотиреоз и вы принимали левотироксин, после родов обычно возвращаются к добеременной дозе и контролируют ТТГ (часто вместе со свободным Т4) примерно через 6 недель; дозу самостоятельно не меняйте.

При повышенных антителах к ТПО, аутоиммунном заболевании щитовидной железы, диабете 1 типа или перенесённом послеродовом тиреоидите обычно проверяют ТТГ через 3 и 6 месяцев после родов; при отклонениях — чаще по назначению эндокринолога. Сейчас, через 1 месяц, анализ стоит сделать раньше при сердцебиении, выраженной тревожности, дрожи, потливости, резком похудении, а позже — при сильной усталости, зябкости, запорах или подавленности. Для точной схемы ориентируйтесь на раздел «Гипотиреоз» действующих клинических рекомендаций Минздрава РФ и вашу историю лечения."
