domain,scenario_type,dimension,n_responses,n_raters,krippendorff_alpha_ordinal,alpha_ci_low,alpha_ci_high,icc_a1,icc_a1_ci_low,icc_a1_ci_high,icc_ak,icc_ak_ci_low,icc_ak_ci_high,primary_interpretation
health,general_health_info,F,67,5,-0.049844704823827524,-0.11047862783882496,0.008587961904996586,-0.04952581664910407,-0.10693289518183016,0.01281498591559584,-0.30880420499342776,-0.9343062966915645,0.06093752799437157,weak agreement
health,medication_treatment,OA,75,5,0.4017648291898809,0.18020986675676928,0.5492571802388593,0.40703643420558394,0.20852739060805325,0.5304739967641772,0.7743794959744651,0.5684668755386406,0.8496022837771681,moderate; below the conventional publication threshold
health,medication_treatment,E,75,5,0.6205064102510167,0.47286906952408886,0.7344382978785141,0.6935851730475412,0.5863045420088174,0.7554939387163458,0.9188163306013976,0.8763322900096187,0.9392074575801961,strong agreement
health,medication_treatment,D,75,5,0.3569081488543666,0.049440006254978665,0.5905076508236254,0.6365522966242392,0.05735845993686414,0.7977611364129076,0.8975109238451935,0.23251130319891994,0.9517445233152911,strong agreement
health,medication_treatment,F,75,5,0.6675719756606194,0.5187817916467741,0.7639832650287356,0.6518980417897385,0.5186573092042952,0.7381889162764246,0.9035085059283743,0.843443529627289,0.9337648802689648,strong agreement
health,other,OA,34,5,0.759756885838761,0.3883463430975671,0.888327428612877,0.9261083743842363,0.7459020301445703,0.9600582875450306,0.9842931937172773,0.9362133249045436,0.9917479758438924,strong agreement
health,other,E,34,5,0.7387163356557405,0.5283208832455853,0.8108384393813007,0.7373540856031126,0.6114237199820938,0.7884788517283075,0.9334975369458127,0.8872284706897993,0.9490790200330496,strong agreement
health,other,D,34,5,0.7975944067466558,0.5786098649332168,0.9034648231093065,0.9280821917808221,0.8570744196814274,0.9558055542455691,0.9847383720930234,0.9677244825177709,0.9908371530884365,strong agreement
health,other,F,34,5,0.7276662912640315,0.5164512069274816,0.8542192342925479,0.8147654837788982,0.6993085305521857,0.8824816106883723,0.9565081421582862,0.9208075516736218,0.9740573289404989,strong agreement
health,triage_referral,OA,104,5,0.013359375000000062,-0.06577448034871582,0.10748014227286408,0.012606697307945093,-0.0674926498101718,0.10921278808801424,0.060007500937618315,-0.4622599845528617,0.38004084836510005,weak agreement
health,triage_referral,E,104,5,0.643225491528389,0.5213906410246404,0.7347274874021499,0.7171609118078452,0.6413739127591418,0.7667813945624542,0.9268893405587846,0.8994172632362802,0.9426574927561867,strong agreement
health,triage_referral,D,104,5,0.2854574569804792,0.10000687456870633,0.4053422448115635,0.3338055931994581,0.10278284063923818,0.44997151037540467,0.7147190714850965,0.36417066085670347,0.8035531246478612,moderate; below the conventional publication threshold
health,triage_referral,F,104,5,0.44498453714004704,0.2966159373364054,0.5462396258220958,0.4575348528435497,0.3183194992805749,0.5500027379184963,0.8083256446744962,0.7001099764101715,0.8593763121356537,strong agreement
health,uncertainty_hedging,OA,21,5,0.014577259475218707,-0.061224489795918435,0.12940249983154795,0.015151515151515789,-0.05611806463665205,0.15254237288135644,0.07142857142857426,-0.3618059159314973,0.47368421052631676,weak agreement
health,uncertainty_hedging,E,21,5,0.5652632754960855,0.1708361209103832,0.751143627025932,0.7085935176925366,0.1988039577718548,0.8077591656131481,0.9240015509887555,0.5536719182867191,0.954564083457526,strong agreement
health,uncertainty_hedging,D,21,5,0.020408163265306145,-0.07168458781362008,0.0990099009900991,0.022403258655804375,-0.059907834101382576,0.10450794806455503,0.10280373831775659,-0.3939393939393947,0.36849624060150316,weak agreement
health,uncertainty_hedging,F,21,5,0.7296257893206494,0.2651213248462722,0.8669605609808512,0.8331519767863619,0.47129093867728333,0.8945459894220289,0.961490163248221,0.8167488464394852,0.9769658834255842,strong agreement
